addr_full,brand,city,country,extras,lat,lon,name,phone,ref,postcode,website
Zone Commerciale Les Martines,But,SAINT JUNIEN,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",45.896116000000000000,0.918924000000000000,But Saint Junien,,319,87200,https://www.but.fr/magasins/319/But-Saint-Junien.html
ZA de la bosserie,But,GIEN,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",47.706298000000000000,2.641914000000000000,But Gien,,322,45500,https://www.but.fr/magasins/322/But-Gien.html
RN 10 ZI Nord,But,RUFFEC,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",46.042855000000000000,0.197899000000000000,But Ruffec,,323,16700,https://www.but.fr/magasins/323/But-Ruffec.html
4 boulevard des Industries,But,POCE SUR CISSE,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",47.425300000000000000,0.983702000000000000,But Amboise,,324,37530,https://www.but.fr/magasins/324/But-Amboise.html
5 Rue Charente-Maritime - Lotissement de la Sacristinerie,But,SAINT JEAN D'ANGELY,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",45.946256000000000000,-0.507616000000000000,But Saint Jean d'Angely,,325,17400,https://www.but.fr/magasins/325/But-Saint-Jean-d-Angely.html
Zone Commerciale de la Monnerie,But,LA FLECHE,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",47.705314000000000000,-0.051083000000000000,But La Flèche,,326,72200,https://www.but.fr/magasins/326/But-La-Fleche.html
ZAC Nord kerd'Hervé 8 rue Jean le Cam,But,LOUDEAC,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.194300000000000000,-2.764620000000000000,But Loudeac,,327,22600,https://www.but.fr/magasins/327/But-Loudeac.html
96 route de Bourges,But,SAINT AMAND MONTROND,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",46.736758000000000000,2.488851000000000000,But Saint Amand,,328,18200,https://www.but.fr/magasins/328/But-Saint-Amand.html
Route de Longué,But,BEAUFORT EN ANJOU,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",47.432326000000000000,-0.199388000000000000,But Beaufort,,329,49250,https://www.but.fr/magasins/329/But-Beaufort.html
2 rue des margats - Lieu dit Les longs sillons,But,COULOMMIERS,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.808812000000000000,3.094258000000000000,But Coulommiers,,330,77120,https://www.but.fr/magasins/330/But-Coulommiers.html
Avenue de Bastia - Immeuble Luciani,But,PORTO VECCHIO,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",41.609628000000000000,9.276641000000000000,But Porto Vecchio,,331,20137,https://www.but.fr/magasins/331/But-Porto-Vecchio.html
Z.I. du Peuron,But,CHAUVIGNY,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",46.556670000000000000,0.624974000000000000,But Chauvigny,,332,86300,https://www.but.fr/magasins/332/But-Chauvigny.html
1 Avenue Faidherbe,But,JONZAC,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",45.448151000000000000,-0.438740000000000020,But Jonzac,,333,17500,https://www.but.fr/magasins/333/But-Jonzac.html
ZAC de Bellevue,But,AUTUN,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",46.970297000000000000,4.274178000000000000,But Autun,,334,71400,https://www.but.fr/magasins/334/But-Autun.html
Route de Dijon,But,SEMUR EN AUXOIS,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",47.488942000000000000,4.353879000000000000,But Semur,,335,21140,https://www.but.fr/magasins/335/But-Semur.html
Rue Louis Desprez,But,BAR SUR AUBE,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.225968000000000000,4.713181000000000000,But Bar sur Aube,,336,10200,https://www.but.fr/magasins/336/But-Bar-sur-Aube.html
Rue Paul Filliot ZAC de Val de L'Orne,But,CONFLANS EN JARNISY,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",49.162798405175000000,5.837723223739000000,But Conflans,,337,54800,https://www.but.fr/magasins/337/But-Conflans.html
ZI aux Cloyes,But,LURE,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",47.682159000000000000,6.516904000000000000,But Lure,,338,70200,https://www.but.fr/magasins/338/But-Lure.html
